Timestamp,sleep,work,socialMedia,major,grades
11/11/2023 16:16:12,2. Different time every day,1. Does not work.,2,8,8
11/11/2023 16:22:18,2. Different time every day,4. More than 20hours,2,7,3
11/11/2023 16:24:53,1. Depending on the time of the 1st class,1. Does not work.,3,8,8
11/11/2023 16:38:35,1. Depending on the time of the 1st class,1. Does not work.,3,10,7
11/11/2023 16:45:28,2. Different time every day,1. Does not work.,2,7,6
11/11/2023 16:56:54,1. Depending on the time of the 1st class,1. Does not work.,2,7,5
11/11/2023 16:57:30,2. Different time every day,1. Does not work.,2,3,8
11/11/2023 17:05:12,1. Depending on the time of the 1st class,1. Does not work.,4,8,5
11/11/2023 17:38:06,1. Depending on the time of the 1st class,1. Does not work.,2,8,8
11/11/2023 17:54:27,2. Different time every day,3. 10 to 20hours,3,8,7
11/11/2023 17:56:50,3 Fixed-schedule,1. Does not work.,1,8,6
11/11/2023 17:57:32,1. Depending on the time of the 1st class,1. Does not work.,3,8,6
11/11/2023 18:30:09,3 Fixed-schedule,2. Less than 10hours,3,7,8
11/11/2023 18:40:07,1. Depending on the time of the 1st class,2. Less than 10hours,3,4,7
11/11/2023 18:49:55,1. Depending on the time of the 1st class,3. 10 to 20hours,5,3,9
11/11/2023 18:50:51,2. Different time every day,4. More than 20hours,3,10,7
11/11/2023 19:06:13,1. Depending on the time of the 1st class,1. Does not work.,2,6,10
11/11/2023 19:29:29,3 Fixed-schedule,2. Less than 10hours,2,9,9
11/11/2023 20:04:14,3 Fixed-schedule,1. Does not work.,2,10,10
11/11/2023 20:28:26,1. Depending on the time of the 1st class,3. 10 to 20hours,3,7,7
11/11/2023 20:36:13,3 Fixed-schedule,4. More than 20hours,3,5,7
11/11/2023 21:29:22,3 Fixed-schedule,4. More than 20hours,2,10,9
11/11/2023 23:34:02,1. Depending on the time of the 1st class,1. Does not work.,3,5,6
11/12/2023 1:25:24,2. Different time every day,3. 10 to 20hours,3,8,9
11/12/2023 1:58:44,1. Depending on the time of the 1st class,1. Does not work.,2,8,6
11/12/2023 2:56:50,2. Different time every day,1. Does not work.,5,6,6
11/13/2023 4:39:21,1. Depending on the time of the 1st class,3. 10 to 20hours,3,8,7
11/13/2023 6:01:18,2. Different time every day,3. 10 to 20hours,2,8,6
